"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Login functionality of the onelern_school project.","","LOGFT_04","0","0","5","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFT_05","0","0","5","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFS_03","1","2","2","0","0"
"Login functionality of the onelern_school project.","","LOGFS_04","0","0","5","0","0"
"Login functionality of the onelern_school project.","","LOGFT_03","0","5","0","0","0"
"Login functionality of the onelern_school project.","","LOGFS_03","0","5","0","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFS_04","4","0","6","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFT_04","0","0","5","0","0"
"Login functionality of the onelern_school project.","","LOGFS_02","0","5","0","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFT_03","0","3","2","0","0"
"Login functionality of the onelern_school project.","","LOGFS_01","0","0","1","0","0"
"Login functionality of the onelern_school project.","","LOGFT_02","0","5","0","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFS_05","0","1","4","0","0"
"This story represents the Library module of the onelern_school project.","","LIBF_03","0","0","5","0","0"
"Login functionality of the onelern_school project.","","LOGFT_01","0","0","1","0","0"
"This story represents the Library module of the onelern_school project.","","LIBF_02","0","0","1","0","0"
"This story represents the Library module of the onelern_school project.","","LIBF_01","0","0","1","0","0"
