"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 11:35:16 IST 2022","Fri Jul 01 11:35:18 IST 2022","1187","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectTeacherMobileNoCheck","IncorrectTeacherMobileNoCheck","Examin Teacher Login with incorrect mobile number"
"passed","Fri Jul 01 11:54:11 IST 2022","Fri Jul 01 11:55:12 IST 2022","60991","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","TeacherLessonNameCheck","TeacherLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"failed","Fri Jul 01 11:38:49 IST 2022","Fri Jul 01 11:39:02 IST 2022","12793","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","StudentWorkbookCheck","StudentWorkbookCheck","To check if the student workbook name is the same as that mentioned in the library image"
"passed","Fri Jul 01 11:32:06 IST 2022","Fri Jul 01 11:32:07 IST 2022","1201","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectStudentMobileNoCheck","IncorrectStudentMobileNoCheck","Examin Student Login with incorrect mobile number"
"broken","Fri Jul 01 11:34:53 IST 2022","Fri Jul 01 11:35:00 IST 2022","6452","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","TeacherLoginPageIncorrectPassword","TeacherLoginPageIncorrectPassword","Examin Teacher Login with incorrect password details"
"broken","Fri Jul 01 11:30:52 IST 2022","Fri Jul 01 11:30:58 IST 2022","6331","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageIncorrectPassword","StudentLoginPageIncorrectPassword","Examin Student Login with incorrect password details"
"passed","Fri Jul 01 11:41:25 IST 2022","Fri Jul 01 11:41:32 IST 2022","7169","Suite","Test","Library.ChapterNameVerify","Library.ChapterNameVerify","StudentChapterCheck","StudentChapterCheck","Whichever option is selected, the chapter name should be clearly visible."
"passed","Fri Jul 01 11:43:46 IST 2022","Fri Jul 01 11:44:08 IST 2022","22093","Suite","Test","Library.ChapterNameVerify","Library.ChapterNameVerify","TeacherChapterCheck","TeacherChapterCheck","Whichever option is selected, the chapter name should be clearly visible."
"passed","Fri Jul 01 11:32:00 IST 2022","Fri Jul 01 11:32:00 IST 2022","132","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectStudentMobileNoCheck","IncorrectStudentMobileNoCheck","Examin Student Login with incorrect mobile number"
"broken","Fri Jul 01 11:30:19 IST 2022","Fri Jul 01 11:30:24 IST 2022","5425","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Fri Jul 01 11:40:18 IST 2022","Fri Jul 01 11:40:31 IST 2022","13274","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","TeacherWorkbookCheck","TeacherWorkbookCheck","To check, the workbook name should be the same as that mentioned in my books page."
"broken","Fri Jul 01 11:30:29 IST 2022","Fri Jul 01 11:30:34 IST 2022","5362","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Fri Jul 01 11:53:31 IST 2022","Fri Jul 01 11:54:05 IST 2022","33761","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","TeacherLessonNameCheck","TeacherLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"broken","Fri Jul 01 11:39:28 IST 2022","Fri Jul 01 11:39:33 IST 2022","5446","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","TeacherWorkbookCheck","TeacherWorkbookCheck","To check, the workbook name should be the same as that mentioned in my books page."
"passed","Fri Jul 01 11:35:22 IST 2022","Fri Jul 01 11:35:23 IST 2022","123","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectTeacherMobileNoCheck","IncorrectTeacherMobileNoCheck","Examin Teacher Login with incorrect mobile number"
"passed","Fri Jul 01 11:29:48 IST 2022","Fri Jul 01 11:29:49 IST 2022","172","Suite","Test","loginFunctionality.LoginLandingPageCheck","loginFunctionality.LoginLandingPageCheck","studentLandingPage","studentLandingPage","Examin Student Toggel check "
"broken","Fri Jul 01 11:31:41 IST 2022","Fri Jul 01 11:31:47 IST 2022","6358","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageIncorrectPassword","StudentLoginPageIncorrectPassword","Examin Student Login with incorrect password details"
"broken","Fri Jul 01 11:33:55 IST 2022","Fri Jul 01 11:34:02 IST 2022","6941","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","TeacherLoginPageCorrectCredentials","TeacherLoginPageCorrectCredentials","Examin Teachers Login with correct details"
"broken","Fri Jul 01 11:34:18 IST 2022","Fri Jul 01 11:34:25 IST 2022","6889","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","TeacherLoginPageIncorrectPassword","TeacherLoginPageIncorrectPassword","Examin Teacher Login with incorrect password details"
"passed","Fri Jul 01 11:48:53 IST 2022","Fri Jul 01 11:49:17 IST 2022","24022","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","StudentLessonNameCheck","StudentLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Fri Jul 01 11:51:51 IST 2022","Fri Jul 01 11:53:26 IST 2022","95621","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","TeacherLessonNameCheck","TeacherLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Fri Jul 01 11:36:12 IST 2022","Fri Jul 01 11:36:19 IST 2022","7406","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"broken","Fri Jul 01 11:30:09 IST 2022","Fri Jul 01 11:30:14 IST 2022","5373","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Fri Jul 01 11:35:34 IST 2022","Fri Jul 01 11:35:35 IST 2022","1205","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectTeacherMobileNoCheck","IncorrectTeacherMobileNoCheck","Examin Teacher Login with incorrect mobile number"
"broken","Fri Jul 01 11:29:58 IST 2022","Fri Jul 01 11:30:04 IST 2022","5421","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"broken","Fri Jul 01 11:31:30 IST 2022","Fri Jul 01 11:31:36 IST 2022","6481","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageIncorrectPassword","StudentLoginPageIncorrectPassword","Examin Student Login with incorrect password details"
"passed","Fri Jul 01 11:38:12 IST 2022","Fri Jul 01 11:38:22 IST 2022","10345","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","StudentWorkbookCheck","StudentWorkbookCheck","To check if the student workbook name is the same as that mentioned in the library image"
"passed","Fri Jul 01 11:36:35 IST 2022","Fri Jul 01 11:36:41 IST 2022","6757","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"passed","Fri Jul 01 11:49:22 IST 2022","Fri Jul 01 11:50:23 IST 2022","60914","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","TeacherLessonNameCheck","TeacherLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Fri Jul 01 11:32:12 IST 2022","Fri Jul 01 11:32:13 IST 2022","1208","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectStudentMobileNoCheck","IncorrectStudentMobileNoCheck","Examin Student Login with incorrect mobile number"
"passed","Fri Jul 01 11:44:38 IST 2022","Fri Jul 01 11:45:35 IST 2022","57366","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","StudentLessonNameCheck","StudentLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"broken","Fri Jul 01 11:33:43 IST 2022","Fri Jul 01 11:33:50 IST 2022","6690","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","TeacherLoginPageCorrectCredentials","TeacherLoginPageCorrectCredentials","Examin Teachers Login with correct details"
"passed","Fri Jul 01 11:50:28 IST 2022","Fri Jul 01 11:51:42 IST 2022","73784","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","TeacherLessonNameCheck","TeacherLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Fri Jul 01 11:36:58 IST 2022","Fri Jul 01 11:37:04 IST 2022","6825","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"broken","Fri Jul 01 11:48:38 IST 2022","Fri Jul 01 11:48:48 IST 2022","10487","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","StudentLessonNameCheck","StudentLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Fri Jul 01 11:29:53 IST 2022","Fri Jul 01 11:29:54 IST 2022","76","Suite","Test","loginFunctionality.LoginLandingPageCheck","loginFunctionality.LoginLandingPageCheck","teacherLandingPage","teacherLandingPage","Examin Teacher toggle check"
"passed","Fri Jul 01 11:35:42 IST 2022","Fri Jul 01 11:35:42 IST 2022","117","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectTeacherMobileNoCheck","IncorrectTeacherMobileNoCheck","Examin Teacher Login with incorrect mobile number"
"passed","Fri Jul 01 11:35:59 IST 2022","Fri Jul 01 11:36:07 IST 2022","8149","Suite","Test","Library.LibLandingPageCheck","Library.LibLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the library module."
"passed","Fri Jul 01 11:37:21 IST 2022","Fri Jul 01 11:37:27 IST 2022","6212","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckTeacherBookGrade","CheckTeacherBookGrade","To see if a teacher of a specific grade has the correct grade book"
"broken","Fri Jul 01 11:39:18 IST 2022","Fri Jul 01 11:39:23 IST 2022","5616","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","StudentWorkbookCheck","StudentWorkbookCheck","To check if the student workbook name is the same as that mentioned in the library image"
"passed","Fri Jul 01 11:37:09 IST 2022","Fri Jul 01 11:37:16 IST 2022","7033","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckTeacherBookGrade","CheckTeacherBookGrade","To see if a teacher of a specific grade has the correct grade book"
"passed","Fri Jul 01 11:37:55 IST 2022","Fri Jul 01 11:38:02 IST 2022","6138","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckTeacherBookGrade","CheckTeacherBookGrade","To see if a teacher of a specific grade has the correct grade book"
"broken","Fri Jul 01 11:39:38 IST 2022","Fri Jul 01 11:39:43 IST 2022","5436","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","TeacherWorkbookCheck","TeacherWorkbookCheck","To check, the workbook name should be the same as that mentioned in my books page."
