"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 07 17:07:11 IST 2022","Wed Sep 07 17:08:00 IST 2022","48386","Suite","Test","Doubts.TeacherDoubtReplyCheck","Doubts.TeacherDoubtReplyCheck","DoubtreplyCheck","DoubtreplyCheck","Examine whether or not the teacher can successfully reply to the doubt posted by the student. And also to check whether student can view reply to the doubt"
"passed","Wed Sep 07 15:52:56 IST 2022","Wed Sep 07 15:53:29 IST 2022","33655","Suite","Test","Library.LibLandingPageCheck","Library.LibLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the library module."
"passed","Wed Sep 07 15:34:02 IST 2022","Wed Sep 07 15:34:23 IST 2022","20645","Suite","Test","Notebook.NotebookLandingPageCheck","Notebook.NotebookLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Notebook module."
"passed","Wed Sep 07 17:59:18 IST 2022","Wed Sep 07 18:01:29 IST 2022","131542","Suite","Test","Notebook.viewHighlightsNotesBookmarks","Notebook.viewHighlightsNotesBookmarks","CheckStudentHighlightsNotesBookmarks","CheckStudentHighlightsNotesBookmarks","To see if a student can view highlights, notes and bookmarks from library in Notebook"
"broken","Wed Sep 07 16:26:21 IST 2022","Wed Sep 07 16:26:47 IST 2022","25948","Suite","Test","Attendance.AttendancePercentageCheck","Attendance.AttendancePercentageCheck","studentPercentageCheck","studentPercentageCheck","Examine whether or not the student can successfully the attendance percentage calculated monthly."
"passed","Wed Sep 07 16:38:46 IST 2022","Wed Sep 07 16:39:16 IST 2022","29535","Suite","Test","Doubts.DoubtsLandingPageCheck","Doubts.DoubtsLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Doubts module."
"passed","Wed Sep 07 16:54:45 IST 2022","Wed Sep 07 16:55:42 IST 2022","57425","Suite","Test","Library.VideoCheck","Library.VideoCheck","teacherVideocheck","teacherVideocheck","Examine whether or not the video can successfully played properly."
"passed","Wed Sep 07 17:12:02 IST 2022","Wed Sep 07 17:12:16 IST 2022","14540","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Wed Sep 07 16:09:08 IST 2022","Wed Sep 07 16:10:53 IST 2022","105913","Suite","Test","Library.LessonNameVerify","Library.LessonNameVerify","StudentLessonNameCheck","StudentLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Wed Sep 07 15:09:15 IST 2022","Wed Sep 07 15:09:54 IST 2022","39294","Suite","Test","Publish.PublishViewsandLikes_Student","Publish.PublishViewsandLikes_Student","studentPublishViewsandLikes","studentPublishViewsandLikes","Examine whether or not the student can successfully view and like the published content."
"passed","Wed Sep 07 16:52:09 IST 2022","Wed Sep 07 16:52:57 IST 2022","48388","Suite","Test","Doubts.DoubtsNewDoubtCheck","Doubts.DoubtsNewDoubtCheck","studentAskNewDoubt","studentAskNewDoubt","Examine whether or not the student can successfully ask his/her doubt."
"passed","Wed Sep 07 16:44:49 IST 2022","Wed Sep 07 16:45:24 IST 2022","35013","Suite","Test","Library.SearchCheck","Library.SearchCheck","StudentSearchCheck","StudentSearchCheck","Searched content should be displayed on screen."
"failed","Wed Sep 07 16:59:46 IST 2022","Wed Sep 07 17:00:26 IST 2022","40464","Suite","Test","Doubts.DoubtsFilterFunctionality","Doubts.DoubtsFilterFunctionality","studentFilterFunctionalityCheck","studentFilterFunctionalityCheck","Examine whether or not the student can successfully filter the content by applying specific filters."
"passed","Wed Sep 07 16:04:47 IST 2022","Wed Sep 07 16:05:32 IST 2022","44347","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","StudentWorkbookCheck","StudentWorkbookCheck","To check if the student workbook name is the same as that mentioned in the library image"
"broken","Wed Sep 07 16:02:36 IST 2022","Wed Sep 07 16:03:21 IST 2022","45422","Suite","Test","Assessment.CreateAssessment_Online","Assessment.CreateAssessment_Online","teacherCreateAssessment_Online","teacherCreateAssessment_Online","Examine whether or not the teacher can successfully create Online assessment for the students."
